,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
86,Cristhian Subero,CA Bucaramanga,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,N,,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
87,Cristhian Subero,CA Bucaramanga,2020-03-01,Sun,Primera A,First stage,Away,W 1–0,CA Bucaramanga,Cúcuta,Y,RB,90,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,,,Match Report
88,Cristhian Subero,CA Bucaramanga,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,CD América,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,Match Report
89,Cristhian Subero,CA Bucaramanga,2020-09-26,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Boyacá Patriot,Y,RB,90,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,,,Match Report
90,Cristhian Subero,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,Y,RB,90,0,0,0,0,1,1,0,0,3,1,0,0,0,2,0,,,Match Report
91,Cristhian Subero,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,N,,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,,,Match Report
92,Cristhian Subero,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,N,,35,0,0,0,0,1,0,0,0,4,1,1,0,1,1,0,,,Match Report
93,Cristhian Subero,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y,DM,90,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,Match Report
94,Cristhian Subero,CA Bucaramanga,2020-10-18,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,La Equidad,Y,CM,74,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,,,Match Report
95,Cristhian Subero,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,DM,66,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,,,Match Report
96,Cristhian Subero,CA Bucaramanga,2020-11-02,Mon,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Boyacá Chicó,Y,RB,85,0,0,0,0,0,0,0,0,1,2,0,7,0,1,0,,,Match Report
97,Cristhian Subero,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,N,,28,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,,,Match Report
98,Cristhian Subero,CA Bucaramanga,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Independiente,Y,DM,88,0,0,0,0,2,0,1,0,2,2,0,1,4,8,0,,,Match Report
99,Cristhian Subero,CA Bucaramanga,2020-11-14,Sat,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Santa Fe,Y,DM,80,0,1,0,0,1,1,1,0,1,2,0,0,1,1,0,,,Match Report
100,Cristhian Subero,CA Bucaramanga,2020-12-03,Thu,Primera A,Liguilla,Away,D 0–0,CA Bucaramanga,Jaguares,Y,RB,90,0,0,0,0,1,0,0,0,1,1,0,4,0,3,0,,,Match Report
101,Cristhian Subero,CA Bucaramanga,2020-12-16,Wed,Primera A,Semi-finals,Away,D 1 (2)–1 (3),CA Bucaramanga,Pereira,Y,RB,120,0,0,0,0,1,0,0,0,1,0,0,8,2,0,0,,,Match Report
102,Henry Rojas,CA Bucaramanga,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,Y,DM,90,0,0,0,0,2,0,1,0,2,3,0,3,2,0,0,,,Match Report
103,Henry Rojas,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y,LW,75,0,0,0,0,2,0,0,0,1,2,1,1,1,2,0,,,Match Report
104,Henry Rojas,CA Bucaramanga,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,,,Match Report
105,Henry Rojas,CA Bucaramanga,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,Y,DM,90,0,0,0,0,1,0,0,0,3,3,0,3,0,2,0,,,Match Report
